[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: DEST URL: F:\Carlos PC\Documentos/RockVR/Video/2023-04-05-20-18-36-GXR0I.mp4
[LOG]: [FFmpegLib]: Build command: "C:/Users/Carlos/VRSpeechTrainer/Assets/StreamingAssets/RockVR/FFmpeg/Windows/ffmpeg.exe" -f rawvideo -pix_fmt rgb24 -r 30 -s 640x480 -i - -y -preset ultrafast -pix_fmt yuv420p -vcodec libx264 -crf 18 -vf vflip -framerate 30 -tune zerolatency "F:\Carlos PC\Documentos/RockVR/Video/2023-04-05-20-18-36-GXR0I.mp4"
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
[LOG]: [FFmpegLib]: Write data bytes: 921600
